id,loan_amnt,term,interest_rate,grade,employment_length,purpose,credit_score,application_type,loan_status
1331181,3500.0,3 years,10.74,B2,7 years,home_improvement,750.0,Individual,FullyPaid
4554875,252.5,3 years,16.29,C4,5 years,major_purchase,720.0,Individual,FullyPaid
1272424,520.0,3 years,8.9,A5,10 years,debt_consolidation,720.0,Individual,FullyPaid
5214781,1687.5,3 years,13.11,B4,10 years,credit_card,665.0,Individual,FullyPaid
124961225,480.0,3 years,5.32,A1,1 year,car,795.0,Individual,FullyPaid
1187235,2500.0,3 years,9.76,B1,10 years,debt_consolidation,735.0,Individual,FullyPaid
1173799,840.0,3 years,10.74,B2,10 years,home_improvement,700.0,Individual,FullyPaid
6114906,1600.0,3 years,9.71,B1,10 years,debt_consolidation,740.0,Individual,FullyPaid
92429897,882.5,3 years,22.74,E1,2 years,other,685.0,Individual,FullyPaid
88056505,2600.0,3 years,7.99,A4,2 years,debt_consolidation,725.0,Individual,FullyPaid
2085356,100.0,3 years,8.9,A5,5 years,credit_card,720.0,Individual,ChargedOff
3352601,1142.5,3 years,7.9,A4,10 years,credit_card,745.0,Individual,FullyPaid
5939968,2500.0,5 years,14.33,C2,10 years,debt_consolidation,740.0,Individual,FullyPaid
85106981,2320.0,3 years,15.59,C5,2 years,medical,685.0,Individual,FullyPaid
85361105,800.0,3 years,11.49,B5,2 years,debt_consolidation,670.0,Individual,FullyPaid
120067987,2500.0,5 years,23.88,E2,10 years,debt_consolidation,720.0,Individual,FullyPaid
85471413,750.0,3 years,25.69,F1,0 years,debt_consolidation,665.0,Individual,ChargedOff
88079079,350.0,3 years,10.49,B3,10 years,home_improvement,730.0,Individual,FullyPaid
1482011,1700.0,3 years,12.12,B3,10 years,debt_consolidation,670.0,Individual,FullyPaid
91219304,1600.0,5 years,19.99,D4,10 years,debt_consolidation,680.0,Individual,ChargedOff
87324983,750.0,3 years,10.99,B4,5 years,credit_card,670.0,Individual,ChargedOff
121423542,1100.0,3 years,12.62,C1,10 years,debt_consolidation,680.0,Individual,ChargedOff
85518053,3500.0,5 years,12.79,C1,6 years,credit_card,705.0,Individual,FullyPaid
5364631,550.0,3 years,21.0,E2,1 year,other,660.0,Individual,FullyPaid
85158489,750.0,3 years,9.49,B2,8 years,debt_consolidation,685.0,Individual,FullyPaid
86902583,745.0,3 years,24.49,E3,1 year,other,670.0,Individual,FullyPaid
124970264,3500.0,5 years,21.45,D5,10 years,debt_consolidation,705.0,Individual,ChargedOff
1091527,1400.0,3 years,9.91,B1,1 year,debt_consolidation,705.0,Individual,FullyPaid
6178339,420.0,3 years,11.55,B3,10 years,medical,740.0,Individual,FullyPaid
90121167,1550.0,5 years,18.99,D3,6 years,credit_card,665.0,Individual,FullyPaid
5775601,2470.0,5 years,18.49,D2,10 years,debt_consolidation,670.0,Individual,ChargedOff
87294239,3000.0,3 years,8.59,A5,6 years,home_improvement,780.0,Individual,FullyPaid
123024219,3800.0,3 years,23.88,E2,7 years,small_business,705.0,Individual,FullyPaid
125288509,400.0,3 years,16.02,C5,10 years,credit_card,700.0,Individual,FullyPaid
1481820,1062.5,3 years,15.31,C2,2 years,other,675.0,Individual,FullyPaid
86532230,1600.0,3 years,14.49,C4,5 years,credit_card,705.0,Individual,FullyPaid
92220836,980.0,3 years,12.74,C1,5 years,credit_card,720.0,Individual,FullyPaid
91649940,2500.0,5 years,17.99,D2,4 years,debt_consolidation,660.0,Individual,FullyPaid
83184401,1200.0,5 years,15.59,C5,10 years,credit_card,715.0,Individual,FullyPaid
94073431,300.0,3 years,8.24,B1,2 years,credit_card,675.0,Individual,FullyPaid
3381098,2100.0,3 years,7.9,A4,10 years,credit_card,690.0,Individual,FullyPaid
5164881,450.0,3 years,18.75,D3,,medical,700.0,Individual,ChargedOff
121254295,3800.0,3 years,7.21,A3,6 years,debt_consolidation,745.0,Joint App,FullyPaid
88918071,3000.0,5 years,15.59,C5,10 years,debt_consolidation,690.0,Individual,FullyPaid
91142709,3200.0,3 years,16.99,D1,8 years,credit_card,665.0,Individual,FullyPaid
87964726,1200.0,5 years,14.49,C4,10 years,credit_card,660.0,Individual,FullyPaid
92809069,900.0,3 years,7.99,A5,0 years,other,735.0,Individual,FullyPaid
91525131,3500.0,3 years,11.49,B5,2 years,credit_card,690.0,Individual,FullyPaid
88625457,300.0,3 years,11.49,B5,1 year,credit_card,725.0,Individual,FullyPaid
91955276,1300.0,3 years,11.44,B4,2 years,credit_card,740.0,Individual,FullyPaid
91007951,1900.0,5 years,15.59,C5,6 years,debt_consolidation,685.0,Individual,FullyPaid
1115997,1347.5,3 years,13.49,C1,10 years,other,685.0,Individual,FullyPaid
90896063,800.0,3 years,12.79,C1,2 years,debt_consolidation,750.0,Individual,FullyPaid
84283628,1200.0,3 years,14.49,C4,6 years,debt_consolidation,690.0,Individual,FullyPaid
1128564,2000.0,3 years,9.91,B1,2 years,debt_consolidation,725.0,Individual,FullyPaid
4558892,1460.0,3 years,12.35,B4,10 years,credit_card,710.0,Individual,FullyPaid
88856863,1200.0,3 years,5.32,A1,3 years,car,795.0,Individual,FullyPaid
1609526,950.0,5 years,18.49,D2,0 years,debt_consolidation,685.0,Individual,FullyPaid
95252162,1800.0,3 years,11.44,B4,7 years,debt_consolidation,720.0,Individual,FullyPaid
6178338,1300.0,3 years,17.56,D1,,debt_consolidation,700.0,Individual,FullyPaid
3195321,1500.0,3 years,11.14,B2,10 years,credit_card,705.0,Individual,FullyPaid
125256548,800.0,3 years,7.97,A5,3 years,debt_consolidation,755.0,Individual,FullyPaid
5976583,850.0,3 years,13.68,C1,,debt_consolidation,675.0,Individual,FullyPaid
92034679,960.0,3 years,10.49,B2,10 years,other,730.0,Individual,FullyPaid
5618489,2545.0,5 years,24.89,G5,10 years,debt_consolidation,665.0,Individual,FullyPaid
85601802,980.0,3 years,8.59,A5,2 years,major_purchase,780.0,Individual,FullyPaid
3697077,600.0,3 years,13.11,B4,,credit_card,685.0,Individual,FullyPaid
3525730,2500.0,3 years,7.9,A4,10 years,debt_consolidation,740.0,Individual,FullyPaid
85992523,1440.0,3 years,12.79,C1,2 years,debt_consolidation,670.0,Individual,FullyPaid
4315089,650.0,3 years,18.75,D3,4 years,medical,690.0,Individual,FullyPaid
5815064,2100.0,3 years,11.14,B2,9 years,debt_consolidation,730.0,Individual,FullyPaid
84719776,1400.0,3 years,9.49,B2,0 years,debt_consolidation,675.0,Individual,FullyPaid
5615814,1000.0,3 years,8.9,A5,10 years,debt_consolidation,730.0,Individual,FullyPaid
125303221,1800.0,3 years,16.02,C5,1 year,debt_consolidation,680.0,Individual,FullyPaid
1284954,3000.0,5 years,14.65,C2,7 years,moving,735.0,Individual,FullyPaid
3640839,1600.0,5 years,13.11,B4,0 years,debt_consolidation,715.0,Individual,FullyPaid
125130149,4000.0,5 years,10.42,B3,10 years,other,710.0,Individual,FullyPaid
90403616,3300.0,3 years,7.59,A3,10 years,debt_consolidation,770.0,Individual,FullyPaid
1120380,2200.0,5 years,13.49,C1,5 years,debt_consolidation,720.0,Individual,FullyPaid
121400461,1000.0,3 years,19.03,D3,3 years,credit_card,680.0,Individual,ChargedOff
3626379,600.0,3 years,19.05,D4,9 years,other,685.0,Individual,FullyPaid
3485605,2000.0,3 years,14.33,C1,4 years,debt_consolidation,675.0,Individual,FullyPaid
93277385,850.0,3 years,12.74,C1,6 years,debt_consolidation,705.0,Individual,ChargedOff
93552168,600.0,3 years,13.99,C3,4 years,debt_consolidation,665.0,Individual,FullyPaid
1175437,860.0,3 years,7.62,A3,6 years,credit_card,725.0,Individual,FullyPaid
88251599,950.0,3 years,22.39,E1,,debt_consolidation,675.0,Individual,ChargedOff
88871901,2090.0,5 years,28.18,G1,,debt_consolidation,685.0,Individual,ChargedOff
84093693,872.5,3 years,21.49,D5,0 years,debt_consolidation,685.0,Individual,ChargedOff
5640621,3500.0,3 years,17.77,D1,10 years,debt_consolidation,685.0,Individual,FullyPaid
3163415,1000.0,3 years,11.14,B2,10 years,credit_card,690.0,Individual,FullyPaid
1255902,1287.5,3 years,14.65,C2,10 years,small_business,680.0,Individual,ChargedOff
3369797,2000.0,5 years,23.28,F2,10 years,credit_card,660.0,Individual,FullyPaid
1685297,1075.0,3 years,12.12,B3,6 years,debt_consolidation,690.0,Individual,FullyPaid
122334824,1000.0,3 years,10.91,B4,8 years,credit_card,665.0,Individual,FullyPaid
1691651,1675.0,3 years,14.33,C1,3 years,debt_consolidation,680.0,Individual,ChargedOff
90694732,1000.0,5 years,15.59,C5,5 years,home_improvement,705.0,Individual,FullyPaid
121291921,1000.0,3 years,18.06,D2,10 years,vacation,670.0,Individual,ChargedOff
85544453,1500.0,3 years,7.99,A4,8 years,credit_card,680.0,Individual,FullyPaid
86116135,2892.5,3 years,16.99,D1,10 years,debt_consolidation,660.0,Individual,FullyPaid
3486084,1500.0,3 years,7.9,A4,10 years,credit_card,735.0,Individual,FullyPaid
121837572,850.0,3 years,15.05,C4,6 years,debt_consolidation,660.0,Individual,ChargedOff
1571433,2757.5,5 years,24.7,G1,7 years,debt_consolidation,660.0,Individual,FullyPaid
5104956,3200.0,5 years,16.29,C4,9 years,debt_consolidation,710.0,Individual,FullyPaid
1557667,1500.0,3 years,14.33,C1,10 years,debt_consolidation,700.0,Individual,FullyPaid
94267129,2600.0,5 years,17.99,D2,0 years,debt_consolidation,770.0,Individual,FullyPaid
94646559,1480.0,3 years,18.99,D3,10 years,debt_consolidation,670.0,Individual,FullyPaid
1188796,1000.0,3 years,6.62,A2,0 years,home_improvement,765.0,Individual,FullyPaid
84102971,2500.0,5 years,10.49,B3,10 years,other,700.0,Individual,FullyPaid
121917477,640.0,3 years,13.59,C2,3 years,medical,695.0,Individual,FullyPaid
87264152,360.0,3 years,9.49,B2,0 years,other,685.0,Individual,FullyPaid
123995360,3040.0,5 years,25.82,E4,10 years,debt_consolidation,750.0,Joint App,FullyPaid
1371849,1600.0,5 years,13.99,C1,1 year,debt_consolidation,715.0,Individual,FullyPaid
91375700,2800.0,3 years,14.99,C4,10 years,debt_consolidation,675.0,Individual,FullyPaid
85291097,900.0,3 years,9.49,B2,10 years,debt_consolidation,665.0,Individual,FullyPaid
3641149,600.0,3 years,6.03,A1,10 years,home_improvement,815.0,Individual,FullyPaid
84819575,1800.0,3 years,12.79,C1,10 years,debt_consolidation,690.0,Individual,FullyPaid
93696963,3500.0,3 years,15.99,C5,,debt_consolidation,680.0,Individual,ChargedOff
93685892,360.0,3 years,10.49,B2,7 years,other,690.0,Individual,FullyPaid
91101322,1000.0,3 years,7.99,A4,0 years,credit_card,715.0,Individual,FullyPaid
5626917,2400.0,3 years,14.09,B5,3 years,debt_consolidation,695.0,Individual,FullyPaid
1626587,3000.0,3 years,14.33,C1,4 years,debt_consolidation,680.0,Individual,FullyPaid
92331576,960.0,3 years,5.32,A1,10 years,other,740.0,Individual,FullyPaid
126201984,1000.0,3 years,10.42,B3,8 years,debt_consolidation,685.0,Individual,FullyPaid
3358019,1500.0,3 years,12.12,B3,5 years,debt_consolidation,690.0,Individual,FullyPaid
1611381,1020.0,3 years,7.62,A3,0 years,medical,765.0,Individual,FullyPaid
85038273,1500.0,5 years,8.59,A5,10 years,home_improvement,815.0,Individual,FullyPaid
1196472,2000.0,3 years,7.9,A4,10 years,debt_consolidation,750.0,Individual,FullyPaid
88848374,3500.0,3 years,13.49,C2,10 years,debt_consolidation,670.0,Individual,FullyPaid
4806893,1127.5,3 years,11.14,B2,6 years,debt_consolidation,675.0,Individual,FullyPaid
88052903,1000.0,3 years,10.99,B4,10 years,debt_consolidation,695.0,Individual,FullyPaid
91617444,2400.0,5 years,13.49,C2,3 years,debt_consolidation,700.0,Joint App,FullyPaid
3628260,177.5,3 years,19.05,D4,6 years,debt_consolidation,670.0,Individual,FullyPaid
1351855,1500.0,3 years,17.27,D1,10 years,debt_consolidation,670.0,Individual,ChargedOff
91148656,600.0,3 years,15.99,C5,5 years,home_improvement,660.0,Individual,FullyPaid
2897111,607.5,3 years,15.31,C2,10 years,credit_card,675.0,Individual,FullyPaid
2367591,1100.0,3 years,18.75,D3,10 years,other,680.0,Individual,FullyPaid
2300412,2610.0,5 years,20.49,E1,10 years,debt_consolidation,680.0,Individual,ChargedOff
85514077,1000.0,3 years,11.49,B5,8 years,debt_consolidation,670.0,Individual,FullyPaid
121306503,500.0,3 years,19.03,D3,7 years,debt_consolidation,670.0,Individual,ChargedOff
2379759,1120.0,3 years,15.8,C3,9 years,debt_consolidation,695.0,Individual,FullyPaid
88058964,200.0,3 years,18.99,D3,3 years,other,680.0,Individual,FullyPaid
1584842,400.0,3 years,7.62,A3,0 years,debt_consolidation,740.0,Individual,FullyPaid
93940897,250.0,3 years,15.99,C5,0 years,debt_consolidation,660.0,Individual,FullyPaid
125820674,1440.0,3 years,20.0,D4,4 years,debt_consolidation,660.0,Individual,ChargedOff
88655587,600.0,3 years,7.99,A4,2 years,debt_consolidation,705.0,Individual,FullyPaid
1432974,2000.0,5 years,22.47,E5,4 years,debt_consolidation,665.0,Individual,FullyPaid
123052227,1200.0,3 years,10.42,B3,8 years,debt_consolidation,660.0,Individual,FullyPaid
85592723,700.0,3 years,8.99,B1,1 year,debt_consolidation,690.0,Individual,FullyPaid
91934319,850.0,3 years,12.74,C1,2 years,debt_consolidation,695.0,Individual,FullyPaid
1401762,2185.0,3 years,8.9,A5,4 years,small_business,750.0,Individual,ChargedOff
6158913,400.0,3 years,15.88,C4,2 years,debt_consolidation,680.0,Individual,FullyPaid
125825946,2000.0,5 years,20.0,D4,0 years,major_purchase,715.0,Individual,FullyPaid
85723653,270.0,3 years,10.49,B3,,home_improvement,695.0,Individual,FullyPaid
6166317,2100.0,3 years,6.62,A2,10 years,home_improvement,740.0,Individual,FullyPaid
1677720,1705.0,3 years,14.09,B5,5 years,debt_consolidation,695.0,Individual,FullyPaid
1181592,300.0,3 years,18.55,D4,10 years,other,685.0,Individual,FullyPaid
5177161,600.0,3 years,14.09,B5,0 years,credit_card,660.0,Individual,ChargedOff
1440806,2730.0,5 years,24.83,G2,10 years,debt_consolidation,665.0,Individual,FullyPaid
88950973,360.0,3 years,14.49,C4,10 years,debt_consolidation,685.0,Individual,FullyPaid
2604986,3067.5,5 years,23.28,F2,10 years,small_business,730.0,Individual,FullyPaid
1622022,3235.0,5 years,17.27,C5,8 years,debt_consolidation,725.0,Individual,FullyPaid
5031875,1000.0,3 years,7.62,A3,10 years,debt_consolidation,710.0,Individual,FullyPaid
1485942,560.0,3 years,17.27,C5,10 years,small_business,660.0,Individual,FullyPaid
1164776,220.0,3 years,7.9,A4,0 years,debt_consolidation,725.0,Individual,ChargedOff
84032559,705.0,3 years,13.49,C2,3 years,debt_consolidation,665.0,Individual,FullyPaid
3356403,1800.0,5 years,15.8,C3,10 years,debt_consolidation,715.0,Individual,ChargedOff
123035624,1330.0,3 years,9.93,B2,6 years,debt_consolidation,715.0,Individual,FullyPaid
93542150,2000.0,3 years,11.49,B5,10 years,credit_card,775.0,Individual,FullyPaid
5778219,2800.0,5 years,19.05,D4,2 years,debt_consolidation,695.0,Individual,FullyPaid
86032179,1000.0,5 years,26.99,F3,1 year,debt_consolidation,680.0,Individual,ChargedOff
85526501,1000.0,3 years,9.49,B2,10 years,other,670.0,Individual,FullyPaid
1348659,1822.5,5 years,16.29,C5,4 years,debt_consolidation,705.0,Individual,FullyPaid
5618188,2005.0,3 years,17.77,D1,4 years,debt_consolidation,685.0,Individual,ChargedOff
2474813,2450.0,3 years,6.03,A1,10 years,debt_consolidation,740.0,Individual,FullyPaid
91072676,560.0,3 years,10.49,B2,10 years,other,690.0,Individual,FullyPaid
1531643,2040.0,5 years,19.72,D5,9 years,credit_card,680.0,Individual,FullyPaid
88461237,1200.0,5 years,14.49,C4,10 years,debt_consolidation,695.0,Individual,FullyPaid
95167914,1600.0,5 years,11.49,B5,10 years,debt_consolidation,665.0,Individual,ChargedOff
3525991,500.0,3 years,14.09,B5,2 years,debt_consolidation,665.0,Individual,ChargedOff
121308921,2400.0,3 years,9.44,B1,,debt_consolidation,735.0,Individual,FullyPaid
5635657,2100.0,3 years,7.9,A4,0 years,debt_consolidation,740.0,Individual,FullyPaid
3921386,2800.0,5 years,23.28,F2,7 years,debt_consolidation,705.0,Individual,FullyPaid
5791639,1200.0,3 years,11.14,B2,10 years,car,680.0,Individual,FullyPaid
90321029,2500.0,3 years,9.49,B2,0 years,credit_card,695.0,Individual,FullyPaid
1435382,1800.0,3 years,15.8,C3,10 years,credit_card,685.0,Individual,FullyPaid
89038837,1000.0,3 years,13.49,C2,10 years,debt_consolidation,675.0,Individual,ChargedOff
85018943,1200.0,5 years,23.99,E2,3 years,debt_consolidation,680.0,Individual,FullyPaid
1430565,975.0,3 years,12.12,B3,10 years,debt_consolidation,695.0,Individual,ChargedOff
121710543,3500.0,3 years,15.05,C4,2 years,debt_consolidation,665.0,Individual,FullyPaid
88039410,1200.0,5 years,8.99,B1,5 years,home_improvement,705.0,Individual,FullyPaid
85758914,1100.0,3 years,8.59,A5,7 years,debt_consolidation,700.0,Individual,FullyPaid
124764998,2100.0,3 years,9.93,B2,3 years,debt_consolidation,660.0,Individual,FullyPaid
1595460,400.0,3 years,7.9,A4,6 years,wedding,760.0,Individual,FullyPaid
94726894,800.0,3 years,8.24,B1,1 year,credit_card,675.0,Individual,FullyPaid
1397489,100.0,3 years,6.03,A1,10 years,other,770.0,Individual,FullyPaid
2301869,1800.0,3 years,12.12,B3,2 years,debt_consolidation,675.0,Individual,FullyPaid
91109781,700.0,3 years,9.49,B2,7 years,debt_consolidation,690.0,Individual,FullyPaid
3643361,2240.0,5 years,8.9,A5,7 years,debt_consolidation,730.0,Individual,FullyPaid
87335033,2000.0,3 years,11.49,B5,0 years,medical,695.0,Individual,FullyPaid
1267227,2500.0,3 years,12.12,B3,4 years,moving,715.0,Individual,FullyPaid
5965264,2400.0,5 years,15.88,C4,10 years,credit_card,690.0,Individual,FullyPaid
88016102,220.0,3 years,9.49,B2,2 years,other,665.0,Individual,FullyPaid
84083815,2160.0,5 years,13.49,C2,0 years,debt_consolidation,720.0,Individual,FullyPaid
94444724,960.0,3 years,12.74,C1,5 years,medical,765.0,Joint App,FullyPaid
1221098,1500.0,3 years,13.99,C1,0 years,debt_consolidation,700.0,Individual,FullyPaid
4176237,1200.0,3 years,13.11,B4,2 years,credit_card,700.0,Individual,FullyPaid
121298935,1450.0,3 years,21.45,D5,10 years,debt_consolidation,690.0,Individual,FullyPaid
2308896,2000.0,3 years,17.27,C5,10 years,debt_consolidation,670.0,Individual,FullyPaid
3376327,2100.0,5 years,15.31,C2,5 years,debt_consolidation,675.0,Individual,FullyPaid
124906651,960.0,3 years,14.08,C3,7 years,home_improvement,695.0,Individual,FullyPaid
2301836,2400.0,3 years,7.62,A3,10 years,debt_consolidation,730.0,Individual,FullyPaid
1390013,887.5,3 years,17.77,D1,9 years,credit_card,675.0,Individual,FullyPaid
4454967,2000.0,3 years,19.05,D4,0 years,debt_consolidation,695.0,Individual,ChargedOff
93970585,2682.5,3 years,17.99,D2,10 years,debt_consolidation,720.0,Individual,FullyPaid
5555670,1762.5,5 years,15.31,C2,10 years,credit_card,695.0,Individual,ChargedOff
1337150,1500.0,3 years,14.65,C2,5 years,credit_card,675.0,Individual,FullyPaid
5762083,1645.0,3 years,14.09,B5,4 years,credit_card,670.0,Individual,FullyPaid
1422347,850.0,3 years,7.9,A4,9 years,credit_card,720.0,Individual,FullyPaid
92831507,480.0,3 years,13.99,C3,5 years,debt_consolidation,660.0,Individual,FullyPaid
1654769,400.0,3 years,15.31,C2,7 years,home_improvement,665.0,Individual,ChargedOff
1490471,215.0,3 years,15.31,C2,,debt_consolidation,660.0,Individual,FullyPaid
91393283,1200.0,3 years,8.59,A5,1 year,debt_consolidation,730.0,Individual,FullyPaid
1575991,3000.0,5 years,14.33,C1,10 years,debt_consolidation,750.0,Individual,FullyPaid
84443980,3500.0,3 years,26.49,F2,2 years,debt_consolidation,685.0,Individual,FullyPaid
88625539,3500.0,5 years,17.99,D2,7 years,debt_consolidation,695.0,Individual,FullyPaid
2838539,450.0,3 years,12.12,B3,10 years,debt_consolidation,705.0,Individual,FullyPaid
1695374,1062.5,3 years,15.31,C2,2 years,major_purchase,665.0,Individual,FullyPaid
93939534,607.5,3 years,13.99,C3,3 years,debt_consolidation,670.0,Individual,FullyPaid
5706472,2400.0,5 years,18.75,D3,6 years,debt_consolidation,705.0,Individual,FullyPaid
125177951,2000.0,5 years,19.03,D3,3 years,credit_card,690.0,Individual,FullyPaid
4125121,400.0,3 years,14.09,B5,4 years,debt_consolidation,725.0,Individual,FullyPaid
120138970,765.0,3 years,19.03,D3,,debt_consolidation,685.0,Individual,FullyPaid
4376256,2100.0,3 years,6.03,A1,3 years,home_improvement,810.0,Individual,FullyPaid
123611664,1700.0,5 years,13.59,C2,10 years,home_improvement,700.0,Individual,FullyPaid
126002261,700.0,3 years,9.93,B2,10 years,debt_consolidation,715.0,Individual,FullyPaid
91368026,2950.0,3 years,5.32,A1,4 years,debt_consolidation,815.0,Individual,FullyPaid
5026966,1400.0,3 years,12.12,B3,0 years,debt_consolidation,695.0,Individual,FullyPaid
1174694,1900.0,3 years,12.12,B3,5 years,debt_consolidation,705.0,Individual,ChargedOff
2285360,1657.5,3 years,14.09,B5,10 years,credit_card,710.0,Individual,FullyPaid
2217954,1150.0,3 years,18.49,D2,10 years,debt_consolidation,675.0,Individual,ChargedOff
93414928,1400.0,3 years,7.24,A3,10 years,debt_consolidation,765.0,Individual,FullyPaid
84929118,1600.0,5 years,15.59,C5,9 years,credit_card,680.0,Individual,FullyPaid
2081371,2100.0,5 years,19.72,D5,8 years,small_business,680.0,Individual,FullyPaid
1393718,1600.0,3 years,14.09,B5,4 years,debt_consolidation,685.0,Individual,FullyPaid
86115122,912.5,3 years,16.99,D1,10 years,debt_consolidation,680.0,Individual,ChargedOff
2934645,2050.0,3 years,12.12,B3,5 years,credit_card,705.0,Individual,ChargedOff
95046290,980.0,3 years,13.99,C3,10 years,other,665.0,Individual,FullyPaid
91376118,480.0,3 years,22.74,E1,9 years,debt_consolidation,705.0,Individual,FullyPaid
92951961,150.0,3 years,12.74,C1,10 years,home_improvement,670.0,Individual,ChargedOff
3293412,2400.0,5 years,17.27,C5,10 years,debt_consolidation,680.0,Individual,FullyPaid
3594864,3500.0,3 years,19.72,D5,10 years,debt_consolidation,680.0,Individual,FullyPaid
95169115,1000.0,3 years,7.99,A5,,credit_card,705.0,Individual,FullyPaid
121323102,1600.0,3 years,7.35,A4,10 years,debt_consolidation,705.0,Individual,FullyPaid
85331153,2497.5,5 years,8.99,B1,10 years,debt_consolidation,715.0,Individual,FullyPaid
2366992,350.0,3 years,18.75,D3,10 years,credit_card,660.0,Individual,FullyPaid
2828148,2250.0,5 years,22.95,F1,9 years,debt_consolidation,680.0,Individual,FullyPaid
86593676,360.0,3 years,9.49,B2,3 years,other,710.0,Individual,FullyPaid
84603168,1800.0,3 years,9.49,B2,4 years,debt_consolidation,680.0,Individual,FullyPaid
6297806,560.0,3 years,15.22,C3,10 years,car,705.0,Individual,FullyPaid
84556144,1600.0,5 years,15.59,C5,5 years,debt_consolidation,670.0,Individual,FullyPaid
4776329,700.0,3 years,15.8,C3,8 years,debt_consolidation,690.0,Individual,FullyPaid
85804901,1000.0,3 years,12.79,C1,1 year,debt_consolidation,680.0,Individual,FullyPaid
